"IsIndustrialized","Is16s","Blautia_schinkii","Streptococcus_salivarius","Escherichia_coli","Acetivibrio_thermocellus","Klebsiella_pneumoniae","Sporobacter_termitidis","Blautia_stercoris","Ruminococcus_bromii","Pseudocoprococcus_catus","Bifidobacterium_pseudocatenulatum","Phocaeicola_dorei","Butyrivibrio_fibrisolvens","Eubacterium_ramulus","Ruminococcus_champanellensis","Eggerthella_lenta","Allocoprococcus_comes","Alistipes_communis","Hungatella_hathewayi","Catenibacterium_mitsuokai","Megasphaera_elsdenii","Agathobacter_rectalis","Oscillibacter_sp__57_20","Mediterraneibacter_glycyrrhizinilyticus","Segatella_copri","Bacteroides_xylanisolvens","Phocaeicola_massiliensis","Bifidobacterium_dentium","Hydrogenoanaerobacterium_saccharovorans","Enterocloster_citroniae","Dialister_invisus","Bacteroides_nordii","Blautia_wexlerae","Enterocloster_asparagiformis","Finegoldia_magna","Oscillibacter_valericigenes","Streptococcus_anginosus","Dehalobacterium_formicoaceticum","Phascolarctobacterium_faecium","Anaerostipes_hadrus","Clostridium_clostridioforme_2_1_49FAA","Ligilactobacillus_salivarius","Lactobacillus_hominis","Blautia_glucerasea","Coprobacillus_cateniformis","Mediterraneibacter_gnavus","Butyricimonas_virosa","Pseudomonas_nitroreducens","Streptococcus_australis","Gemmiger_formicilis","Mitsuokella_multacida","Pseudomonas_aeruginosa","Megamonas_hypermegale","Bilophila_wadsworthia","Faecalispora_sporosphaeroides","Gordonibacter_pamelaeae","Vibrio_cholerae","Gemella_sanguinis","Collinsella_aerofaciens","Acidaminococcus_intestini","Thomasclavelia_saccharogumia","Roseburia_faecis","Oribacterium_sinus","Mediterraneibacter_faecis","Collinsella_intestinalis","Helicobacter_pylori","Blautia_hydrogenotrophica","Eubacterium_xylanophilum","Streptococcus_oralis","Blautia_caecimuris","Bacteroides_uniformis","Agathobaculum_butyriciproducens","Segatella_buccae","Pseudoflavonifractor_capillosus","Phocaeicola_plebeius","Fusicatenibacter_saccharivorans","Veillonella_dispar","Blautia_luti","Lawsonibacter_asaccharolyticus","Dorea_longicatena","Bacteroides_faecis","Anaerobutyricum_hallii","Dialister_pneumosintes","Xylanibacter_ruminicola","Blautia_faecis","Blautia_obeum","Phocaeicola_vulgatus","Lachnospiraceae_bacterium","Barnesiella_intestinihominis","Dorea_formicigenerans","Candidatus_Cibiobacter_qucibialis","Succinivibrio_dextrinosolvens","Bacteroides_clarus","Enterocloster_clostridioformis","Odoribacter_splanchnicus","Ralstonia_pickettii","Bacteroides_caccae","Faecalibacterium_prausnitzii","Serratia_marcescens","Bacteroides_ovatus","Limosilactobacillus_mucosae","Enorma_massiliensis","Adlercreutzia_equolifaciens_subsp__celatus","Streptococcus_mitis","Anaerobutyricum_soehngenii","Holdemania_filiformis","Bifidobacterium_longum","Bacteroides_thetaiotaomicron","Fusobacterium_nucleatum","Bifidobacterium_bifidum","Roseburia_inulinivorans","Clostridioides_difficile","Sneathia_sanguinegens","Streptococcus_thermophilus","Parabacteroides_merdae","Intestinimonas_butyriciproducens","Lactobacillus_jensenii","Phocaeicola_salanitronis","Ruthenibacterium_lactatiformans","Morganella_morganii","Eisenbergiella_massiliensis","Acidaminococcus_fermentans","Alistipes_putredinis","Brevundimonas_vesicularis","Bacteroides_stercoris","Intestinibacter_bartlettii","Clostridium_innocuum","Dialister_histaminiformans","Alistipes_onderdonkii","Anaerotruncus_colihominis","Agathobaculum_desmolans","Faecalimonas_nexilis","Amedibacillus_dolichus","Eubacterium_coprostanoligenes","Parabacteroides_distasonis","Streptococcus_equinus","Bacteroides_fragilis","Eshraghiella_crossota","Methanobrevibacter_smithii","Bacteroides_cellulosilyticus","Flavonifractor_plautii","Ruminococcus_torques","Turicimonas_muris","Adlercreutzia_caecimuris","Clostridium_leptum","Eikenella_corrodens","Enterocloster_aldenensis","Paraprevotella_xylaniphila","Parasutterella_excrementihominis","Roseburia_intestinalis","Oscillospiraceae_bacterium","Desulfovibrio_piger","Eubacterium_ventriosum","Lactobacillus_iners","Adlercreutzia_equolifaciens","Veillonella_rogosae","Elizabethkingia_meningoseptica","Shigella_flexneri","Phascolarctobacterium_succinatutens","Bifidobacterium_adolescentis","Prevotella_sp__885","Blautia_producta","Leyella_stercorea","Parabacteroides_goldsteinii","Haemophilus_parainfluenzae","Monoglobus_pectinilyticus","Streptococcus_gordonii","Alistipes_indistinctus","Campylobacter_ureolyticus","Schaalia_odontolytica","Akkermansia_muciniphila","Butyricimonas_synergistica","instance_id"
0.015747063,0.10965893,0.4943108,-1.143999,-0.8016988,0.27528653,-1.1679587,0.35428488,0.07837294,0.7143253,0.28268397,-1.4983153,0.21575494,0.038821112,0.27183193,0.14546895,-0.20737486,-0.15395747,0.15622132,0.17226407,0.29603574,0.08629237,0.4971322,-0.9131881,0.23635861,-0.14839457,-0.29007706,0.15861893,-0.71181244,0.04267301,0.1518682,-0.4420081,0.11226839,-0.2391552,0.06146198,0.060145136,0.17237216,0.08012069,-0.0060587856,0.32435673,-0.12629491,0.10454576,-0.40547103,-0.0066969465,0.31312144,0.08517387,-0.17552808,0.06008364,0,0.038846035,-0.30707252,0.03637743,0.06798632,0.059216924,0.26875728,0.16244522,-0.071765974,-0.0055758264,0.06652334,0.3984301,-0.1385846,0.01512652,-0.4185474,-0.094962515,0.022733077,-0.033305205,0.1142682,-0.15529743,0.03153098,-0.31982803,0.0010826475,-0.5005482,0.015816122,-0.0273787,0.00051791256,-0.23073292,-0.39205638,-0.17434146,-0.004983364,0.07501986,-0.15944004,-0.012680179,-0.3073583,-0.039789237,-0.03735268,-0.04546071,0.075240925,-0.08565481,-0.014888642,-0.4904357,0.1399368,-0.021267748,-0.06574749,-0.015405314,-0.06420927,-0.0983426,0.005668333,-0.12288891,-0.39721388,-0.038034644,-0.1152681,0.089203365,-0.036059752,0.0275818,-0.28163168,0.015702698,-0.03302406,-0.20016277,0.12401554,0.12263093,0.20885593,0.097907424,0.11394478,0,0.0055953283,-0.04834439,-0.05366487,0.010049072,-0.0023105633,0.043659855,-0.017931025,-0.0104225315,0.0032999387,-0.1492877,0.0008560894,-0.0738446,-0.14269423,-0.10698355,0.033550657,0.102259494,0.03087651,0.29310474,0.052225377,-0.0062230444,-0.03406409,-0.020264305,-0.0029594004,0.0046614697,-0.014941693,0.0172687,0.02545331,-0.12547141,-0.04654584,-0.07202886,-0.019448955,-0.22225794,-0.0050053806,-0.017730225,-0.07471945,-0.017490378,-0.018686704,0,-0.003813087,-0.0076527377,-0.01358463,0.0045285015,0.02646704,0,0.03531554,-0.015298868,-0.1893041,0,-0.006004272,-0.0049813217,-0.006146908,0.45096618,-0.010111772,-0.12232819,0.120574884,0.033112913,-0.012754026,0.12052369,-0.014325893,"CDFMT1-A-0-week"
0.068590224,0.19627246,0.4145441,-1.4971384,-1.0549922,0.2740072,-1.1814429,0.37588596,0.090791285,0.6029509,0.29377317,-1.2850643,0.20427412,0.042535756,0.3543194,0.1483326,0.12109798,-0.5985097,0.16405042,0.20632794,-0.13513204,0.08836305,-0.4588101,0.09972134,0.23405029,-0.22341874,-0.27976918,0.238036,0.14904954,0.045172893,0.15139858,-0.43054414,0.12496663,0.050236367,0.057094656,0.05631954,0.17616023,0.078651555,-0.005441997,0.31205046,-0.5319366,0.10831894,-0.4036659,-0.0051777805,0.2885989,0.05680821,0.21883218,0.054341063,0,0.058697455,0.28442958,0.03653787,0.080426306,0.052390166,0.1715713,0.1345726,-0.04192375,-0.0055472543,0.07034305,-0.036716707,-0.22848497,0.020667367,0.10895361,-0.102191746,0.02311314,-0.028443843,0.117357425,-0.17897041,0.029728234,-0.6795606,0.003144518,-0.37334013,-0.34492558,-0.022218935,-0.010542446,0.13298306,0.18662322,-0.17236699,-0.1350826,0.056315325,-0.21137857,-0.0061840266,0.64475965,-0.036872637,-0.058963574,-0.103989504,0.07662307,-0.013917449,-0.015213048,-0.69052255,-0.2987786,-0.018963603,-0.08531944,0.0033140965,-0.049792446,-0.043025237,0.0060745124,-0.21858792,-0.8732233,-0.047778375,-0.22568128,0.10836283,-0.02223956,0.018193241,-0.15445262,0.016930431,0.014752319,0.025540413,0.17360955,-0.03543044,-0.06868483,0.09423921,0.1149006,0,0.42326492,-0.059364326,-0.048120197,0.0076404205,-0.002263174,0.03782331,-0.019155975,-0.0060680313,0.007104394,-0.109636605,0.0001074198,-0.02855353,-0.13060868,-0.12174411,0.06248198,0.104018494,0.058590017,0.22981867,0.058718745,-0.007307074,-0.028805718,0.076778844,-0.003660931,0.01943767,-0.05450946,0.0420734,0.021264732,-0.05818166,0.46185872,-0.062963985,-0.019266374,-0.19754648,-0.0072061312,-0.017400408,-0.069060415,-0.043735687,-0.031228453,0,-0.0047426084,0.018193068,-0.016072465,0.0035724004,0.030900605,0,0.049423486,-0.010814333,0.060628574,0.5965108,-0.0076433243,-0.043643527,-0.007410023,-0.06532786,-0.009863254,-0.19450533,0.16482767,0.032652214,0.032937504,0.07876462,-0.009373905,"CDFMT13-A-0-week"
0.09759091,0.12419897,0.37035418,-1.421496,-1.2410274,0.2472793,-0.9958864,0.32403094,0.08541641,0.6384474,0.2350704,-1.0718102,0.10492864,0.043130126,0.23937975,0.12409024,0.08386764,-0.2961738,-3.3108497,0.13375771,-0.116643086,-0.44484562,0.31055155,0.09777792,0.1578049,-0.093478195,-0.34814578,0.19508132,-0.54901457,0.049505208,0.11969535,-0.45135146,0.111546904,-0.44208026,0.050922804,0.05588118,0.13242505,0.06862491,-0.005131231,0.2460635,-0.6162292,0.100436255,0.07086901,-0.002959561,0.25855803,0.074767254,0.14255726,0.044053778,0,-0.8277786,0.08058821,0.03801117,0.0746737,0.05320813,0.2337649,0.113023624,-0.07553228,-0.0053478065,-0.6347636,-0.17435472,0.41304573,0.019890632,-0.3028948,0.24580327,0.015411891,-0.03377586,0.10390432,-0.15469041,0.027497768,-0.4226799,0.0018855899,-0.35314244,0.074038215,-0.02885103,-0.0047146804,-0.2092848,0.20132583,0.095749825,-0.016577091,0.05197011,-0.1654199,-0.009014316,0.20965639,-0.038792,-0.05980875,-0.23977225,0.04975313,-0.0034057647,-0.016997186,-0.5228653,-0.08665322,-0.021611135,-0.08239876,-0.003505997,-0.079185806,-0.05088284,0.0048041875,-0.14131291,-0.5745411,-0.03200023,-0.16223362,-0.6639039,-0.033915624,0.014478179,-0.17268741,0.014474999,-0.013556202,-0.19114706,0.15408668,-0.03409698,0.14497018,0.08854882,0.10133837,0,0.22071186,-0.03628719,-0.06798492,0.00765967,-0.0025428548,0.034443438,-0.018768404,-0.010171452,0.004453637,-0.11748299,0.0008560894,-0.058854003,0.22499019,-0.105543755,-0.073102355,0.097811565,0.023260724,0.19826958,0.066153854,-0.009083074,-0.08606654,0.14234559,-0.0029786252,0.0026136963,-0.014060417,0.023331504,0.021289455,-0.1400634,0.12615186,-0.0782701,-0.025353827,-0.24326125,-0.0064752763,-0.028548663,-0.06921989,-0.02194389,-0.042606946,-0.0022676985,-0.006401035,-0.01956321,-0.015896836,0.0036446042,0.02171203,0,0.04548399,-0.01801096,-0.30592915,0,-0.007309135,-0.06439805,-0.012411247,-0.062705785,-0.011714486,-0.17378904,0.11363785,0.031751476,-0.0044521145,0.11578938,-0.014514009,"CDFMT10-A-0-week"
-0.024643715,0.28177124,0.58573115,0.48155347,-1.0820131,0.33567446,0.31694064,0.4769406,0.14989907,-0.93058705,0.24657285,-1.2824855,0.4164461,0.052877657,0.24112879,0.16405511,-0.061198268,0.26311922,0.18019186,0.12669218,0.019703656,0.10873547,0.33147252,0.09136102,0.27739656,0.09698591,-0.34396178,0.177037,0.17879483,0.039692532,0.15914579,-0.501809,0.0787056,-0.22043629,0.07680778,0.047843516,0.18378839,0.08604021,-0.006187915,0.40856174,-0.47147578,0.10752314,-0.49052575,-0.007348275,0.3146875,0.08789286,0.083581515,0.03374695,0,-0.9595084,0.23864327,0.036097214,0.07934807,0.08108504,0.2032463,0.1711429,0.01758782,-0.0056311493,-0.90103304,0.07169747,-0.1770756,0.020275652,-0.262648,-0.08804737,0.03513735,-0.01767906,0.120466165,-0.1656222,0.038400624,0.062409405,0.0018149433,-0.4271422,0.10430893,-0.030211614,-0.0023731727,0.13971797,-0.18048488,-0.14291942,-0.06862259,0.059816636,-0.19037896,-0.009636181,0.5494383,-0.035055652,-0.058696896,-0.20910892,0.04767359,-0.014341021,-0.016612578,-0.3545408,0.2966171,-0.020553049,-0.1273998,-0.02576594,-0.04082915,-0.117484495,0.002979447,-0.2245047,-0.8122335,-0.038620062,0.017839994,0.10586679,-0.004025502,0.040424153,-0.30727687,0.015665554,0.0032367622,-0.376433,0.22958222,-0.030248065,0.19383384,0.058792245,0.12854321,0,0.2132403,-0.024167676,-0.04542467,0.008454852,-0.0027875262,0.021448245,-0.016718242,-0.008579093,0.0010093031,-0.14942685,0.000968748,-0.04685122,-0.076317474,0.128046,0.020256761,0.10782093,0.036929548,0.25940382,0.06508778,-0.010802453,-0.07195629,0.11451824,-0.0029328652,-0.0042983405,-0.013513864,0.013765995,0.013240978,-0.074002445,0.18980558,-0.09390563,-0.016215371,-0.4056393,-0.0058190306,-0.024983086,-0.087715775,-0.041389823,-0.045192454,0,0.0060752924,-0.015505216,-0.015960367,0.0038214382,0.031989463,0,0.03738304,-0.007041936,0.03885976,0,-0.013547956,0.0005268329,-0.0037647719,0.48468712,-0.017429184,0.045629077,0.037652962,0.034076266,0.0320306,0.071555026,-0.012999969,"CDFMT18-A-0-week"
-0.014259014,0.16744444,0.52893806,-1.6175487,-1.1660985,0.33215702,0.2407276,0.4531326,0.11273776,0.5819399,-0.5152371,0.45120382,0.19253293,0.048356257,-0.35189587,0.16830747,0.06040197,-0.6507506,0.17663462,0.13795878,-0.11285604,0.091001846,0.50859934,-1.4439867,0.22150493,-0.12045958,-0.39933446,0.14624147,0.14004974,0.039298236,0.1632765,-0.4184256,0.09631473,0.08448382,0.0691157,0.050912883,0.14295751,0.084238626,-0.0057223435,0.42360815,-0.8063168,0.10793955,-0.41856164,-0.0039559635,0.26155987,0.061126746,-0.23422936,0.047493014,0,-0.820708,-0.27192318,0.03905051,0.07611451,0.078843,0.2457219,0.14895315,-0.05870855,-0.0054744016,-0.8685415,-0.25488237,-0.24660027,0.015156072,0.18740171,-0.09987712,0.028243154,-0.024593249,0.12014018,-0.14371182,0.029829927,0.03706438,0.002166717,0.06505554,0.05542807,-0.019782161,0.0034973118,0.103729546,-0.18106373,-0.13234141,-0.12663259,0.06376931,-0.19338603,-0.0070092855,-0.324903,-0.038788073,-0.04110156,-0.072169766,-0.048743583,-0.035958286,-0.015316214,-0.40040046,0.3577933,-0.01893293,-0.06443609,-0.007741619,-0.049443614,-0.1283545,0.0036615985,-0.14179428,-0.83570564,-0.04463232,-0.00397351,-0.5437121,-0.025572648,0.019933823,-0.23309375,0.016447823,-0.020773442,-0.15012825,0.13206404,-0.029020485,1.3786931,0.039568674,0.08996977,0,-0.11560278,-0.015782412,-0.05512698,0.010049072,-0.0032043378,0.029806495,-0.0148178525,-0.006499713,0.0069502816,-0.039154753,0.0013732362,-0.11146295,-0.12662953,0.1805134,0.033447094,0.117598794,0.0106822895,0.27283412,0.056974035,-0.005516532,-0.053486332,0.048558228,-0.0038877616,-0.020067723,-0.043128137,0.026493784,0.00874278,0.011028588,-0.008835752,-0.09284286,-0.024673376,-0.21283498,-0.005297458,-0.04471135,-0.075003445,-0.040400743,-0.019319786,0,0.0053225607,-0.011317321,-0.0141332755,0.004919729,0.027621178,0,0.03567472,-0.015197628,-0.27665627,0,-0.005636799,-0.0029544407,-0.004875077,0.5292243,-0.012393065,-0.059662588,0.1549872,0.03181179,0.032621387,0.113113225,-0.018841727,"CDFMT15-A-0-week"
0.056720946,0.072980896,0.4604002,-1.2153083,-0.84093434,0.2890333,-1.0727847,0.34385437,0.08049975,0.62336755,0.114363216,0.46422204,0.30688864,0.04690096,0.3022342,0.14782065,0.14034247,0.17170957,0.15910286,-0.29865262,-0.07130718,0.07101141,-1.1804785,0.095813654,0.20320739,-0.13170958,-0.39507014,0.22528577,-0.61962837,0.04085228,0.16399956,-0.3254215,0.09857914,-0.118023366,0.06742306,-0.29369053,0.09581958,0.08825142,-0.0053747483,0.45198345,0.0049157627,-2.6971025,0.04729032,-0.008982381,0.2949603,-0.46379215,0.18160334,0.06612559,0,-0.6094657,0.24649656,0.031962857,0.0770952,0.06377753,0.21583137,0.18966547,-0.08886603,-0.005319235,-0.66508937,2.1353796,-0.109067254,0.021426357,0.2025547,-0.13326572,0.023633584,-0.02328994,0.12003207,-0.1409479,0.028168324,-0.99389154,0.0024838082,-0.38774896,0.091970384,-0.023641856,0.0067305225,0.13948444,0.24609011,-0.19223419,-0.19290873,0.048008755,-0.19738856,-0.0069621843,-0.04413481,-0.037014257,-0.06379782,-0.111202486,-0.13016194,-0.023805406,-0.016485829,-0.6079901,-0.18772793,-0.01847371,-0.09374633,0.00967996,-0.047350034,-0.060879376,0.0063642664,-0.17735466,-0.6910411,-0.04103538,-0.06789595,0.059737835,-0.018900063,0.021814922,-0.2618931,0.017214434,-0.04086357,-0.1558083,0.2484757,-0.02372219,2.7363842,0.120678574,-1.5300078,0,-0.019017763,-0.05823367,-0.026217936,0.010284125,-0.0035211127,0.04982289,-0.015190331,-0.010810977,0.008152186,-0.124598116,0.0015121823,-0.044838935,-0.105474934,0.090528354,0.054777805,0.092562065,0.04756841,0.20115136,0.06613825,-0.0055667055,0.03303743,0.08031993,-0.0064725894,-0.114945345,-0.051715173,0.048054937,0.02187762,0.07543554,0.13647866,-0.07517236,-0.023489177,-0.19050539,0.064328745,-0.007101261,-0.09392825,-0.041531645,-0.021756267,0,0.008042653,0.004334744,-0.014941035,0.007230372,0.031043418,0,0.025292274,-0.020619318,0.028947067,0,-0.007289758,-0.011202838,-0.0049030907,0.4538064,-0.010196625,-0.12852171,0.106168374,0.030165445,-0.030226102,0.06834899,-0.009150748,"CDFMT31-A-0-week"
0.053476535,0.15513913,0.49534118,-1.8489115,-1.1026499,0.29521966,-1.0512719,0.4457633,0.09755954,0.5952465,-0.28958717,0.5321877,0.36885995,0.049297914,0.33012417,0.16960904,-0.130024,0.38977945,0.15725447,0.19121292,-0.13632978,0.101074226,0.45952886,0.15075703,0.24471542,-0.111927964,-0.42195666,0.24038854,0.1477915,0.0444718,0.13310626,-0.47576153,0.12106156,-0.25843668,0.06570851,0.06159159,0.17311089,0.08852167,-0.0053747483,0.3042263,-0.77301747,0.1143284,0.06245844,-0.003866283,0.33340114,0.09904086,-0.27585995,0.044975523,0,0.04088554,-0.15743048,0.042965762,0.07758513,0.059764758,0.1552191,0.18782689,-0.048480466,-0.005161409,-0.683863,-0.26114208,-0.14611322,0.017431162,0.2534683,-0.10367402,0.02731692,-0.019342711,0.11929245,-0.11091104,0.029017305,0.03111289,0.0023602564,-0.58471566,0.08403441,-0.023955269,0.002276521,0.13227415,-0.28820032,-0.15576981,-0.14466454,0.05661771,-0.12648061,-0.0075563025,-0.20045,-0.036524266,-0.05597869,-0.13219948,-0.04542493,-0.26162636,-0.0152194295,-0.4147346,0.3685314,-0.018725801,-0.0731184,-0.014794855,-0.04188963,-0.107864216,0.0016831893,-0.17463356,-0.6655624,-0.04886354,-0.093418665,0.09766498,-0.02218869,0.036854096,-0.22708435,0.017327892,-0.026273979,-0.24670503,0.16442066,-0.028822318,-0.06600048,0.086686596,0.10919696,0,0.84602886,-0.029179107,-0.056161664,0.009380198,-0.0029862986,0.029613964,-0.014368879,-0.0044436394,0.0037721426,-0.10158933,0.0011801391,-0.045736287,-0.083807126,-0.11194879,0.02927223,0.11160405,0.045165643,0.29322758,0.051960535,-0.005385233,-0.034403786,0.0097329365,-0.0037867907,-0.007970916,-0.03809973,0.034237497,0.024829155,-0.072074234,0.13859819,-0.09451351,-0.025663834,-0.16872339,-0.0042587845,-0.02214559,-0.09216681,-0.053530112,-0.012298062,0,-0.002629608,0.00063641695,-0.013997819,0.008580321,0.028429592,0,0.0564609,-0.020517504,-0.124696314,-0.06707292,-0.007882766,-0.047946446,-0.004535833,-0.048771612,-0.012950809,0.028523404,0.1266571,0.033271767,0.02956626,0.10974743,-0.012175359,"CDFMT4-A-0-week"
-0.005670227,0.2135134,0.6143019,-1.3472298,-1.1773971,0.32402635,0.22705975,0.45360136,0.12047118,0.64771867,-0.30500144,0.44563568,0.16485962,0.050007697,-0.37577978,0.16694322,0.023444884,0.05846892,0.17332949,0.123502925,-0.012563816,0.08058482,0.45594132,0.15892678,0.23904069,-0.11515196,-0.35219043,0.18040177,-0.71096545,0.04597267,0.14268741,-0.39128765,0.097927384,0.03628149,0.06586195,0.058218878,0.20010588,0.06998363,-0.0050891037,0.39255834,-0.62832654,0.10537675,-0.34923202,-0.008188322,0.3241684,0.08096664,-0.20911463,0.04202266,0,0.041493803,-0.15678816,0.036060993,0.0793054,0.048376262,0.16732937,0.27199188,-0.0638694,-0.005288004,0.057794284,1.3053672,-0.20739588,0.014103984,0.22703141,-0.1023346,0.026887449,-0.030792609,0.11288753,-0.107750505,0.028791789,-0.54765135,0.0016508676,-0.5454654,0.058083426,-0.024874305,0.0054902304,-0.25243217,-0.36187923,-0.14101139,-0.11324566,0.05021482,-0.17370722,-0.007943945,-0.22927082,-0.035944473,-0.052849595,0.04194324,0.21401621,-0.023960786,-0.016706591,-0.62636524,0.43351805,-0.019069372,-0.058461823,-0.0064997743,-0.038507275,-0.1428812,-0.0020148223,-0.1307407,-0.7770344,-0.042839963,-0.12342362,0.08452786,-0.045377962,0.022844609,0.16371092,0.016366772,-0.0150389625,-0.2875239,0.15285572,-0.028080381,-0.08691274,0.07931864,0.099996075,0,0.82232904,-0.07748627,-0.054240827,0.00918398,-0.0023165843,0.037567172,-0.016203128,-0.0101121375,0.006434734,-0.06823914,0.0015807628,-0.03600031,0.22631282,-0.13483593,0.039235525,0.09877773,0.031205801,0.38801605,0.09056494,-0.0047832313,-0.00426371,0.039120927,-0.003951176,0.007914715,-0.048132464,0.029444002,0.018262532,-0.10470414,-0.29742748,-0.09720522,-0.01689671,-0.14723668,-0.0036535324,-0.041894294,-0.11247673,-0.031126473,-0.012796446,0,0.009322363,0.0076726046,-0.013968906,0.009599147,0.02693249,0,0.05070535,-0.02381142,-0.2890587,0,-0.0058348556,-0.0040073018,-0.0074343253,-0.085203685,-0.012418579,-0.28144833,0.12984431,0.033540778,0.0643993,0.124660015,-0.0176261,"CDFMT32-A-0-week"
-0.049078044,0.5389961,0.3259847,-1.067596,1.3804653,0.23681286,-1.0901921,0.29839975,0.060132682,0.4980216,0.19360729,-1.2857103,0.29619965,0.036499366,0.29122022,0.111924544,0.058231376,0.14082728,0.1321555,0.16559552,-0.028776843,0.06483929,-2.7435315,0.062680855,0.2790166,-0.14473465,-0.26781496,0.23158744,0.12627265,0.06330782,0.123210624,-0.4119771,0.10659328,0.007021155,0.044554368,0.29657027,0.2133532,0.05622819,-0.0053747483,0.45967835,-0.500263,0.09259619,-0.39135575,-0.0063087586,0.2626801,0.06304281,-1.0594939,0.03322534,0,0.044782184,0.2563036,0.030816969,0.0747076,0.08730316,0.19394708,0.083709955,-0.018101014,-0.0055472543,0.085366786,0.008361027,-0.19768527,0.020800782,0.10676379,-0.07467236,0.018725727,-0.017130416,0.12750201,-0.19029531,0.030132757,-0.7465495,0.0027480097,-0.444434,0.082591146,-0.02069221,0.035366055,0.11505987,0.15864399,0.035130642,-0.104845166,0.05603242,-0.3076999,-0.0046651433,0.42842543,-0.033928826,-0.04638033,-0.13794115,0.042371027,-0.52406824,-0.013607151,-0.29476517,-0.2104362,-0.014352649,-0.0774683,0.008664116,-0.0529654,0.015745023,0.009416395,-0.16347402,2.380069,-0.039001413,-0.14546165,-0.7274344,-0.01263262,0.03359033,0.17167388,0.012660292,0.022733111,-0.2941043,0.43516958,-0.03668323,0.11851533,0.03487656,0.10335476,0,-0.0148886405,-0.078288116,-0.046929777,0.0150936395,-0.00043016832,0.07219295,-0.015716214,-0.006165815,0.0022247636,-0.008768663,-7.037881e-05,-0.05458677,-0.024094317,-0.12199591,0.09197921,0.10269416,0.063088804,0.14014526,0.08061823,-0.0061788373,-0.0072901566,0.10766003,-0.003090506,-0.044670217,-0.036529973,0.047430955,0.034069896,-0.25057286,0.16384183,-0.04310722,-0.01907754,-0.1569496,-0.0062120804,0.025070831,-0.06318395,-0.04656745,-0.031725086,0,0.02472724,0.035271183,-0.0134724835,0.004545312,0.05466373,0,0.029599622,-0.008911087,0.10234999,0,0.0042744726,-0.003668185,-0.0014381409,0.132721,-0.007035877,-0.20178013,0.13523328,0.025734201,0.15982331,-0.17374855,-0.013020999,"CDFMT33-A-0-week"
0.009616435,0.31933913,0.44270563,-1.7066501,0.30953473,0.35933125,0.26894253,0.4285697,0.0930413,0.62419105,0.2537309,-1.3492283,0.39067718,0.05100698,0.38108104,0.16045189,0.12717293,0.23226553,0.1708216,0.15446365,-0.201179,0.0928933,-1.3876796,0.103682585,0.2545197,-0.15895152,-0.42143604,0.25967288,0.15085976,0.05410377,0.16736484,-0.49490994,0.11384406,0.047052823,0.05717908,0.06317516,0.19176398,0.081401385,-0.0053747483,0.3557889,-0.641309,0.11010965,0.06909923,-0.0034302766,0.26656768,0.05746802,-0.45082438,0.07623402,0,0.062071964,0.27077597,0.039224572,0.08156898,0.05587688,0.17124191,0.14787139,-0.023593824,-0.004668759,0.082626045,-0.22731021,-0.2262761,0.017044604,0.042743303,-0.10203811,0.024309894,-0.022153607,0.13905573,-0.22919106,0.03196297,0.041701775,0.0032174531,-0.66396594,0.09079008,-0.02247695,0.0034061605,0.15940699,0.19799918,-0.16850463,-0.17853187,0.04423771,-0.24951786,-0.003932961,0.58677495,-0.041484233,-0.06230864,-0.13872205,-0.033123184,-0.0059440616,-0.015246248,-0.41155908,-0.31736782,-0.019862773,-0.09210634,0.0054893033,-0.043868206,-0.044743694,0.0022817843,-0.24552147,-1.2934632,-0.046161365,-0.13617803,0.10023018,-0.015965212,0.033756554,-0.28613162,0.016846193,0.026171165,0.074004635,0.18394801,-0.039917454,-0.060554948,0.083177105,0.12640013,0,-0.040245995,-0.072496854,-0.0542821,0.010500275,-0.0021944179,0.03164573,-0.01645099,-0.0058501195,0.0072789444,-0.10667852,0.00071714324,-0.042128425,-0.1473935,-0.10148481,0.06422624,0.111158,0.047499407,0.26708198,0.0602485,-0.0060147187,0.014441617,0.08415428,-0.0037673167,-0.007269539,-0.04308961,0.061552666,0.022540655,-0.119055495,0.13649312,-0.07559628,-0.020683676,-0.20970514,-0.0043608476,-0.02069081,-0.07249041,-0.016472014,-0.02933817,0,0.008031458,0.014776437,-0.015719723,0.0038175872,0.026971027,0,0.057480194,-0.011234688,-0.5518963,0,-0.00656778,-0.0020318732,-0.006239458,-0.056908526,-0.00995807,-0.27164513,0.16987005,0.034460224,0.06237797,0.10985694,-0.009380626,"CDFMT30-A-0-week"
